Comment,Sentiment
Copy nothing? More like understand nothing.,Negative
This thing is just a waste of time where is the old jaguar we all wanted to see,Negative
WTF did I just watch?,Negative
How old was the child that designed this add ? Needs a lot of help,Negative
"We gather here today to bid farewell to Jaguar, a once-proud marque that embodied elegance, performance, and character. Jaguar was more than a car manufacturer; it was a symbol of passion and untamed freedom.<br><br>Tragically, Jaguar did not fall to the passage of time or technological progress but to a wave of conformity. In the Woke Bubble, it lost its spirit, its boldness, and ultimately its identity.<br><br>Today, we mourn more than a brandâ€”we mourn an era of courage and individuality. Yet, Jaguar lives on in memories, in garages, and in the hearts of its admirers.<br><br>Rest in peace, Jaguar. Your spirit will never fade.",Neutral
What a terrible day to have eyes,Negative
Yes please copy nothing from this advert.,Negative
lol have a bud light in your Fahjuar on your way to the new woke Disney movie and find new ways to destroy everything on your way!,Neutral
"Lol, the Bud Light of car commercials ......",Neutral
Jaguar in it&#39;s death throws. It will be gone in two years,Negative
"I&#39;m confused, how exactly does a bunch of clowns clowning about, sell more cars when the brand isn&#39;t even mentioned (apart from a small square in the corner), nor a single car shown?",Negative
Is jaguar being a gay now ?? Or  a jewellery shop,Neutral
Evolution of ğŸ¤´ to ğŸ¤¡,Negative
â€œThis will help us sell more cars.â€<br>What cars?,Neutral
I guess I found something worse than Thick of It?,Negative
You just copied the left wing lunatics ad formula! lmao.,Negative
&quot;Two girls one cup&quot; has more class than this ad.,Neutral
Iâ€™ll take â€œHow to ruin a car company in less than a yearâ€ Alex,Negative
That&#39;s how you destroy your Company. Seems like Budweiser is not enough of a warning.,Negative
"I have a friend who bought one earlier this year.  I&#39;m going to ask him if he plans to get rid of it, so people won&#39;t think he&#39;s weird.  If he gives me a good enough price, I&#39;ll buy it and swap the engine into my Corolla, and somehow stick a Toyota emblem on top of the engine.",Neutral
Not many transgender coffee shop baristas buy jaguars,Neutral
What the hell is that?,Negative
Just in case you cant see dislikes: there are 31.000 dislikes,Negative
I think these people are going crazy ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡,Negative
No wonder Elon Musk asked if they still still sell cars ğŸ˜‚,Neutral
Modern art has caught up to modern automobile industryğŸ˜­ğŸ˜­ğŸ˜­,Neutral
"Good, spend money create rubbish.",Negative
Trying to go woke,Neutral
Deserves to be the most disliked video on Youtube,Negative
Boycott this brand now,Negative
"Look at the Jaguar Type 00 review. It&#39;s like a car from Sims 4, in this ice cream-pink an crazy design. No wonder there is no message in this buzz-creating ad, it is here as a statement that the car says everything. This does not eliminate the very unprofessional reaction of the management to critics to this ad though - you need better public speaking and PR professionals to prepare your management to defend such turns..",Negative
&quot;Copy nothing&quot;... <br><br>Copies Budweiser...<br><br><br>ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚,Neutral
The most groundbreaking thing is that they left the comments open.,Positive
Its a psyop everybody is gay Andrew Tate predicted this someone saved jaguar from bankruptcy and is forcing them to do this g@y ads RIP to Jaguar..... stay sharp fellasğŸ‘ğŸ¾,Neutral
I&#39; m sorry your name new is gay war ğŸ¤®ğŸ‘,Negative
obviously owned by TATA,Neutral
My mate told me about this I thought he was joking.,Neutral
If just Enzo Ferrari saw this...,Neutral
another company will follow go woke go broke what they are selling anyways,Negative
The CEO should look for another job ... Budweiser all over again ğŸ˜‚,Neutral
"I don&#39;t have the money for a Jaguar right now, but I&#39;ve always wanted a real, expensive Jaguar. I work hard, I&#39;m well-qualified, and I&#39;ve started my own business, which is going up. I&#39;ll make the money, but I don&#39;t want a Jaguar anymore.",Neutral
Literally no one: I hope Jaguar goes woke<br><br>Jaguar: Hold my Pumpkin spiced Latte,Neutral
This feels like a parody of modern society and advertising,Negative
It actually signifies who is going to be the elite class in the future.......... masculinity will vanish..... Brands knew it,Neutral
CONGRATULATIONS!!! You look like Primark knock-offs,Positive
"Here&#39;s an idea: Hire Henry Cavill, have him talk about the Jaguar in his British accent, film him driving it, put the Jaguar emblem back on the car and stop messing around. Learn from Chrysler and the Cordoba, with the manly and elegant Ricardo MontalbÃ¡n.",Neutral
"Question: What is the relationship between a classy, â€‹â€‹powerful car and a bunch of freaks and morons?",Negative
"ğŸ˜‚ğŸ˜‚ a car comercial with no car.. go woke, go broke..",Neutral
copy nothing.... buy nothing from woke companies,Negative
I thought this was a joke!  Fire everyone associated!  This failure WILL hit the taxpayers.  Make sure they pay hell 1st.,Negative
"Go woke, Go broke, what a bunch of losers JAGUAR, now I&#39;ll be ashamed to think wanting 1a jaguar!!",Negative
Remember when car brands focused on making good cars? Gonna miss that,Neutral
Jaguar is trying to hard they say copy nothing but they kinda fit it in with other companies destroying their own image,Negative
"I&#39;d rather they sold it to the Germans, who then build exquisite classic sports saloons under the prewar SS Jaguar brand, built at Eva Braun&#39;s Lane, Coventry<br>Edit: less of a nightmare than this pitiful woke BS",Negative
1. Not a single car<br>2. She looks like moss from he it crowd,Negative
Bro the concept car rear looks like a cooling vent,Neutral
Can&#39;t wait to see the memes calling guys with jags gay. The bud light ones were glorious.,Positive
Mars is shown to make Elon Musk Angry,Neutral
Watching this ad on LGTV,Neutral
Ehh. a Woke advert ğŸ¤®ğŸ¤®ğŸ¤®,Negative
That was horrible I can&#39;t see those things and bot feel like i wanna vomit,Negative
Hair bridge with Asian. WOW How PC are you.,Neutral
The definition of disappointment,Negative
"Jaguar are supposed to be targeting rich people with their adverts, not art school rejects",Negative
Brilliant I will never buy a jaguar now,Negative
Maybe they wanna sell parfum now,Neutral
"Guess you didn&#39;t learn anything from Budweiser, huh?",Negative
